dominant_topic,document_count,avg_confidence,topic_keywords,topic_theme,theme_description,theme_confidence
0,1258,0.5500847,"earning, growth, economic, economy, strong","Inflation, Rates and Growth",Macro data on inflation and rising interest rates informs expectations for the economy and corporate earnings growth.,high
1,294,0.5460818,"job, tariff, trump, old, firm",AI Security and Tariff Policy,The theme analyzes how artificial intelligence-related security concerns intersect with tariff-driven trade policy and the political context shaping tech regulation and labor impacts.,high
2,485,0.51887625,"spy, money, want, look, index",Index ETF and Options Activity,"Investor focus on major equity indices via ETFs (SPY, QQQ), with attention to index futures and options trading through brokerages.",high
3,200,0.49356583,"account, gold, portfolio, value, option",Portfolio Allocation and Asset Valuation,"Insights around how investors construct and manage investment portfolios, including asset allocation, asset class selection (gold, bonds, funds), valuation concepts (net asset value), and strategic use of options.",high
4,1473,0.4469065,"index, high, point, low, rate",Record High Equity Rally,"This theme tracks how stock indices move toward new all-time highs, capturing ongoing gains and rallies and how rate expectations or policy shifts influence momentum.",high
5,731,0.48381382,"growth, risk, dividend, potential, energy",Energy Dividend and Growth Plays,It tracks opportunities where energy-related and other cash-rich companies pursue strategic growth while delivering dividend income and maintaining defensive risk management.,high
6,705,0.49566382,"sector, etf, fund, utility, offer",Yield-Driven Sector ETFs,"ETFs and mutual funds that target sector exposure (such as utilities and consumer sectors) with a focus on income and return metrics—dividend yield, yield-based measures, and growth/value considerations.",high
7,454,0.46380344,"invest, think, time, fund, long",Capital Allocation and Financing Activity,"Covers corporate decisions around reallocating capital—such as asset disposals to reduce debt, fundraising via equity offerings, and related financing considerations with tax and long‑term implications.",high
8,284,0.50237685,"discuss, voo, join, morning, financial",Morning Market Discussion: VOO & Stocks,"Early-morning commentary on stock moves and ETF activity, centered on VOO, with discussion of market sentiment and potential recession headwinds affecting prices and closing levels.",high
9,631,0.69633615,"division, research, announce, participant, conference",Earnings Calls & Investor Conferences,This theme covers corporate earnings announcements and investor-focused events such as calls and conferences where companies present results and strategic updates to investors and analysts.,high
