title,content,source,published_at,url,collected_at
Electronic Arts announces major deal as FIFA 26 hits the market,Updated 8:54 am EST to reflect the $55 billion leveraged buyout. Video-gaming giant Electronic Arts (EA) year just got even better. Shares of the video-gaming juggernaut have quietly outperformed … [+4947 chars],TheStreet,2025-09-29T15:05:40Z,https://www.thestreet.com/technology/electronic-arts-lbo-rumors-swirl-as-fifa-26-hits-the-market,2025-09-30 23:07:10.561083
"'Much of the value creation in the semiconductor industry is occurring outside the EU' says EU member states, and they want a fresh plan to claw some chips back","A new declaration from all 27 EU member states lays out an ""urgent need"" for a new and improved EU Chips Act.
""This underscores the need for a strengthened, second-phase EU Chips Act that is both ambitious and forward-looking.""
Indispensability: maintain and develop Europe’s technological and innovation leadership to secure critical control points in the global semiconductor value chain.
This is the revised Chips Act, so what happened to the original one?
The EU has opened a public consultation on the Chips Act, too, asking for evidence to review the effectiveness of the act.",PC Gamer,2025-09-29T15:04:38Z,https://www.pcgamer.com/hardware/much-of-the-value-creation-in-the-semiconductor-industry-is-occurring-outside-the-eu-says-eu-member-states-and-they-want-a-fresh-plan-to-claw-some-chips-back/,2025-09-30 23:07:10.843906
Strategy Notches Third Smallest Bitcoin Purchase in 2025 as Dividend Payments Approach,"In brief Strategy acquired 196 Bitcoin worth $22 millionThe Bitcoin-buying firm meanwhile raised $128 millionStrategy is obligated to make dividend payments on some of its preferred shares.
Discover SCENEStrategy notched its third smallest Bitcoin acquisition of the year on Monday, disclosing that it only bought $22 million worth of the asset, according to a press release.
Featuring a 10% dividend, STRD was unveiled as Strategy’s third type of preferred shares in June.
Strategy shares rose 5% to $324 on Monday, according to Yahoo Finance.
Often portrayed as a proxy to Bitcoin, Strategy shares have increased 12% year-to-date, while the largest cryptocurrency by market capitalization has risen 22% over the same period.",Decrypt,2025-09-29T15:04:14Z,https://decrypt.co/341929/strategy-third-smallest-bitcoin-purchase-2025-dividend-payments,2025-09-30 23:07:12.303483
"A major jobs report, key consumer data, and Fed commentary: Here's everything on tap for markets this week","Investors are kicking off a packed week of economic data and other inputs that could influence the trajectory of the market.
Jobs reportFuse/Getty ImagesThe main event will come at the very end of the week with Friday's nonfarm payroll report.
Markets are also absorbing a handful of other data points this week related to the labor market.
""Traders will be closely watching for further signs of weakness in the labor market.""
But this pace is unsustainable,"" economists at Pantheon Macroeconomics wrote in a note, adding that they expected spending to slow for the next several quarters.",Business Insider,2025-09-29T15:03:59Z,https://www.businessinsider.com/stock-market-this-week-jobs-report-fed-minutes-speakers-rates-2025-9,2025-09-30 23:07:12.498016
Electronic Arts Buyers Might Be Paying Too Much for EA Stock,", 200); return false;"">Why is Electronic Arts being taken private for $55B? , 200); return false;"">How will a US govern… [+721 chars]",Biztoc.com,2025-09-29T15:03:58Z,https://biztoc.com/x/c31b65e6981c57ee,2025-09-30 23:07:12.914799
"Lululemon Drops 54% YTD, Is LULU Stock Too Cheap to Ignore?",", 200); return false;"">Why is Electronic Arts being taken private for $55B? , 200); return false;"">How will a US govern… [+742 chars]",Biztoc.com,2025-09-29T15:03:53Z,https://biztoc.com/x/10aece0fc5cf9c0f,2025-09-30 23:07:13.271983
"Bitget Challenges Major Exchanges with its Universal Exchange Model, Report with Animoca Brands Highlights","THIS CONTENT IS RESERVED FOR RS ONLY now to read the latest news in your city and across Canada. Exclusive articles from Barbara Shecter, Joe O'Connor, Gabriel Friedman, … [+5337 chars]",Financial Post,2025-09-29T15:03:49Z,https://financialpost.com/globe-newswire/bitget-challenges-major-exchanges-with-its-universal-exchange-model-report-with-animoca-brands-highlights,2025-09-30 23:07:13.614013
Stock Dives On Debt Restructuring: What Investors Need To Know,"Shares of Beyond Meat Inc (NASDAQ: BYND) are trading sharply lower Monday morning after the company announced a major debt restructuring plan aimed at strengthening its balance sheet.
The plant-based meat producer has launched an exchange offer to eliminate over $800 million of debt by…This story appeared on benzinga.com , 2025-09-29 14:50:36.",Biztoc.com,2025-09-29T15:03:47Z,https://biztoc.com/x/834fb1db078776e4,2025-09-30 23:07:14.256355
"House prices continue to rise, driven by a shortage of homes for sale, says Sherry FitzGerald chief","Home prices are being driven up by the “sustained shortage of available housing” in Ireland, Marian Finnegan, the chief executive of the Sherry Fitzgerald Group said.
Rural counties are seeing a pronounced effect from housing shortages with available housing halving since 2019 in six counties.
Dublin has seen less price inflation, however, with a 1.1 per cent increase in the past quarter bringing the annual rise to 6.5 per cent.
A biannual analysis by the agency identified an ongoing shortage in available housing stock.
This outweighed the stagnant supply of second-hand homes for sale.",The Irish Times,2025-09-29T15:01:19Z,https://www.irishtimes.com/business/2025/09/29/house-prices-continue-to-rise-driven-by-a-shortage-of-homes-for-sale-says-sherry-fitzgerald-chief/,2025-09-30 23:07:14.474662
Harness acquires Qwiet AI to bring vulnerability detection into DevOps workflows,"Harness Inc., a software delivery startup that provides artificial intelligence tools for developers to update and monitor applications as they go, today announced it acquired Qwiet AI, formerly know… [+5540 chars]",SiliconANGLE News,2025-09-29T15:00:33Z,https://siliconangle.com/2025/09/29/harness-acquires-qwiet-ai-bring-vulnerability-detection-devops-workflows/,2025-09-30 23:07:15.322751
Mustang RTR Spec 5 Packs 870 HP to Challenge Ford’s Own GTD,"Vaughn Gittin Jr.’s RTR Spec 5 Mustang delivers 870 hp, making it the tuner’s most powerful pony car ever.
The Mustang GTD may be Ford’s new flagship performance car, but another contender has arrived—this time from within the Mustang stable itself.
RTR Vehicles, led by Ford Racing driver Vaughn Gittin Jr., has unveiled the 2026 Mustang RTR Spec 5.
The build starts with a Mustang GT equipped with the factory performance pack.
While Ford’s GTD aims to rival Europe’s elite sports cars with track-focused precision, the RTR Spec 5 caters to muscle car purists who crave horsepower and individuality.",Yahoo Entertainment,2025-09-29T15:00:31Z,https://autos.yahoo.com/new-vehicles-and-reviews/articles/mustang-rtr-spec-5-packs-150031188.html,2025-09-30 23:07:15.886067
"Jif Creamy Peanut Butter, 16 Ounces – Pack of SIX – Just $9.05!","Love Jif peanut butter? This popular deal is back in stock and perfect for Back to School lunches! How about grabbing this deal? Check out this great price on an Jif Creamy Peanut Butter, 16 Ounces –… [+557 chars]",Commonsensewithmoney.com,2025-09-29T15:00:30Z,https://www.commonsensewithmoney.com/jif-creamy-peanut-butter-16-ounces-pack-six-just-9-05/,2025-09-30 23:07:17.259250
Apple Just Unveiled the iPhone 17: Here’s What This Means for You If You Own Stock,"Apple’s recent launch of the iPhone 17 lineup and its making headlines made record-breaking pre-orders in China and a surge in production, according to CNBC.
How This Affects Apple’s Market PositionFor investors, the iPhone 17 lineup strengthens Apple’s grip on the premium smartphone market but also signals challenges.
With the hardware cycle maturing, analysts said Apple’s future stock growth depends increasingly on services revenue and ecosystem expansion.
How well the iPhone 17 series performs this holiday season may set the tone for both earnings and stock sentiment.
According to Investing.com, Morgan Stanley reported that early demand for the iPhone 17 is higher than last year’s, fueled by longer lead times and improved supply, supporting an Overweight rating on Apple stock.",Yahoo Entertainment,2025-09-29T15:00:14Z,https://finance.yahoo.com/news/apple-just-unveiled-iphone-17-150014598.html,2025-09-30 23:07:18.254095
"Bitget Challenges Major Exchanges with its Universal Exchange Model, Report with Animoca Brands Highlights","VICTORIA, Seychelles, Sept. 29, 2025 (GLOBE NEWSWIRE) -- Bitget , the world's largest Universal Exchange (UEX), has been highlighted in a new Animoca Brands report, ""Exchanges' Next Phase: Reaching the Mainstream,"" which examines how exchanges will evolve into the primary gateways to the on-chain economy.
The report highlights Bitget’s UEX concept as a leading example of how centralized platforms are expanding beyond crypto trading into tokenized assets and real-world financial integration.
Centralized exchanges have already played a pivotal role in crypto adoption, evolving from simple OTC upgrades into multi-layered financial platforms.
About BitgetEstablished in 2018, Bitget is the world's largest Universal Exchange (UEX).
In the world of motorsports, Bitget is the exclusive cryptocurrency exchange partner of MotoGP™ , one of the world’s most thrilling championships.",GlobeNewswire,2025-09-29T15:00:00Z,https://www.globenewswire.com/news-release/2025/09/29/3157922/0/en/Bitget-Challenges-Major-Exchanges-with-its-Universal-Exchange-Model-Report-with-Animoca-Brands-Highlights.html,2025-09-30 23:07:19.091563
‘Chad Powers’ Review: Glen Powell’s Fitfully Funny Hulu Comedy Can’t Decide Who It Wants To Be,"Rather than bring out Powell’s good side(s), “Chad Powers” gets stuck in the same identity crisis as its subject.
Watching videos on his phone while driving through Los Angeles, he sees South Georgia University is holding open tryouts for their football team.
…except Chad’s jokes are redundant and shallow, his prosthetics are an impediment to a good time, and the premise refuses to get out of its own way.
But worst of all, “Chad Powers” manages to waste Glen Powell.
That the majority of them arrive in the later episodes may be a sign for optimism, but “Chad Powers” has a lot more work to do if it’s ever going to become its best self.",IndieWire,2025-09-29T15:00:00Z,https://www.indiewire.com/criticism/shows/chad-powers-review-glen-powell-hulu-comedy-1235152993/,2025-09-30 23:07:19.327586
