title,content,source,published_at,url,sentiment,collected_at,quality_score,keywords
New Indigenous-owned sablefish farm proposed for Kyuquot Sound,"Tiicma Fisheries Inc., a venture of Ka:’yu:’k’t’h’/Che:k:tles7et’h’ First Nations (KCFN), is in the process of applying to the Ministry of Transport for a tenure site and licence to operate a sablefish facility in Kyuquot Sound on the west coast of Vancouver Island.

The proposed aquaculture finfish facility is located 11.5-kilometres from Houpsitas, a KCFN village, and about 12-kilometres from Fair Harbour, the marina facility owned by the nation.

Pinnace Channel is the presented waterway for the site, which will be floating adjacent to Hohoae Island.

According to Tiicma’s Transport Canada application (file number 2001-500751), the sablefish facility will include a floathouse, feed barge and 10 cages within a 30-by-30-metre area.

“A compliment of three staff (minimum) will reside on the floathouse to manage aquaculture operations,” reads Tiicma’s application.

Currently, there are three marine aquaculture facilities for sablefish in British Columbia, two of which are active and situated in Kyuquot Sound, while a single inactive facility lies in Barkley Sound, according to Fisheries and Oceans Canada (DFO).

The two active facilities, Charlie’s Place and Centre Cove, are currently licensed for 2,700 and 2,202 metric tons of sablefish, respectively, whereas the Barkley Sound facility is licensed for 550 metric tons, according to DFO.

Golden Eagle Sablefish operates the two active sablefish sites in partnership with KCFN and produces sablefish, also known as black cod, products for both local and international markets.

The licences for all three sablefish facilities were issued on July 1, 2024 and expire in 2030. Salmon farms have until 2029 to remove their open net pens from Pacific waters, but this ban does not apply to sablefish aquaculture.

“Sablefish farms are not included in the Government of Canada’s plan to phase out open net-pen salmon aquaculture in B.C.,” according to DFO.

Sablefish, also known as black cod, are deep-water marine fish with a northern amphi-Pacific distribution and high fisheries value, estimated at approximately $27.9 million per year between 2012 and 2022, according to DFO.

Daniel Rabu, Tiicma Fisheries general manager, says the new finfish facility at Hohoae Island will be wholly owned by Tiicma Fisheries. He declined to comment further until the application process is finalized.

Public comment for the proposed Hohoae sablefish facility closes on October 10, 2025 at 1 a.m.",Sooke News Mirror,2025-10-02T21:12:00Z,https://www.sookenewsmirror.com/home2/new-indigenous-owned-sablefish-farm-proposed-for-kyuquot-sound-8286536,0.2313725490196079,2025-10-04 00:09:11.513011,0.9999999999999999,"['indigenous-owned', 'farm', 'sablefish', 'sound', 'kyuquot', 'proposed', 'facility', 'fisheries', 'aquaculture', 'dfo', 'tiicma', 'kcfn', 'island', 'hohoae', 'application', 'facilities', 'active', 'process', 'transport', 'site', 'finfish', 'owned', 'tiicma’s', 'canada', 'floathouse', 'marine', 'barkley', 'licensed', 'metric', 'tons', 'black', 'cod', 'salmon', 'farms', 'open']"
"Weekly economic wrap: Rand gains, but gold is the shining star again as safe haven | The Citizen","South Africa lost more jobs in the second quarter, but the Absa PMI rebounded, while new vehicle sales, especially exports, did not disappoint.

The weak economic news of the week was mitigated by the rand gaining against a weak dollar this week, while gold was the shining star as investors returned to the safe haven of the yellow metal, spooked by the US government shutdown.

Tracey-Lee Solomon, economist at the Bureau for Economic Research (BER), says gold surged to another record high as the US government shutdown began.

She also noted that after last week's sharp gains, oil prices finally retreated at the start of the week on expectations that OPEC+ will raise production again in November, fuelling concerns about oversupply.

Solomon says the rand also gained against a weak dollar thi",The Citizen,2025-10-03T16:05:25Z,https://www.citizen.co.za/business/weekly-economic-wrap-rand-gains-but-gold-is-the-shining-star-again-as-safe-haven/,0.0980392156862746,2025-10-04 00:09:11.513044,,
Banglamung District Holds First-Ever Outstanding Citizen of Banglamung Selection for 2025 - The Pattaya News,"Local News

Thai Lifestyle

People and Biographies

Social Issues

Banglamung District Holds First-Ever Outstanding Citizen of Banglamung Selection for 2025

By

Adam Judd

-

Pattaya, Thailand – On October 3rd, 2025, the Banglamung District Office hosted the inaugural “Outstanding Citizen of Banglamung” selection event for 2025 at the Community Hall meeting room. The ceremony was presided over by Mr. Wanchai Wannaphram, Senior Permanent Secretary of Bang Lamung District. This is to honor people who have demonstrated selflessness, made big contributions to society, and exhibited good conduct in their personal and professional lives, serving as role models for the community.

This marks the first year of the event, which attracted 14 candidates across six categories: Agriculture, Industry, Commerce or Tourism, Social Service or Community Development, Local Leadership, and Local Administration.

The selection process required candidates to present their achievements within a 10-minute timeframe, followed by a 5-minute endorsement from their supporters. A panel of judges then conducted a 5-minute Q&A session to further evaluate the candidates.

The event also featured booths showcasing the candidates’ work, allowing attendees to appreciate their dedication and contributions to the local community.

Mr. Adam Judd is the Chief of Content, English language, of TPN Media since December 2017. He is originally from Washington D.C., America, but has also lived in Dallas, Sarasota, and Portsmouth. His background is in retail sales, HR, and operations management, and has written about news and Thailand for many years. He has lived in Pattaya for over a decade as a full-time resident, is well known locally and been visiting the country as a regular visitor for over 15 years. His full contact information, including office contact information, can be found on our Contact Us page below. Stories please e-mail Editor@ThePattayanews.com About Us: https://thepattayanews.com/about-us/ Contact Us: https://thepattayanews.com/contact-us/",The Pattaya News,2025-10-03T16:06:43Z,https://thepattayanews.com/2025/10/03/banglamung-district-holds-first-ever-outstanding-citizen-of-banglamung-selection-for-2025/,0.3960784313725489,2025-10-04 00:09:16.904605,0.9999999999999999,"['banglamung', 'selection', '2025', 'outstanding', 'citizen', 'local', 'community', 'candidates', 'contact', 'district', 'event', 'thepattayanews', 'social', 'adam', 'judd', 'pattaya', 'thailand', 'office', 'mr', 'contributions', '5-minute', 'lived', 'information', 'https', 'thai', 'lifestyle', 'biographies', 'issues', 'holds', 'first-ever', '3rd', 'hosted', 'inaugural', 'hall', 'meeting']"
CME to start trading crypto futures 24/7: What changes for Bitcoin?,"CME Group will extend its Bitcoin and Ethereum futures to round-the-clock trading in early 2026, pending regulatory approval.

The move brings the largest US-regulated futures market in line with the always-on nature of crypto exchanges, a structural shift that could reshape how liquidity flows between traditional finance and crypto-native venues.

CME futures currently trade Sunday through Friday with daily maintenance breaks, mirroring the exchange’s equities and commodities model. That leaves long stretches (Friday night through Sunday afternoon, and brief weekday pauses) where the global spot market trades on Binance, Coinbase, and Deribit without a parallel CME market.

The result has been a structural feature known as the “CME gap”: price moves over weekends or during CME off-hours often open the week with visible chart gaps that traders anticipate filling. By 2026, those gaps may disappear, or at least lose their predictive power.

CME’s footprint in crypto is already material. In Q3 2025, the exchange reported its second-highest quarter on record for crypto futures, with average daily volume near 20,000 contracts across BTC and ETH.

For Bitcoin specifically, CME’s share of open interest has consistently ranked in the top five globally, often capturing 20–25% of USD-margined futures activity. That’s a stark contrast to 2017, when CME launched its first Bitcoin contracts into a market still dominated by unregulated platforms.

Making these futures trade 24/7 responds directly to client demand. Traditional institutions, from asset managers to corporates, have long complained about being unable to hedge risk during crypto’s most volatile windows: weekends and Asian trading hours.

A CME contract that runs parallel to Binance’s perpetual futures or Deribit’s options would allow a portfolio manager in New York or London to offset exposure without needing offshore accounts. It also means dealers managing ETF flows, which have introduced a steady pipeline of US-based Bitcoin demand, can keep basis trades and arbitrage strategies balanced around the clock.

The liquidity implications are twofold.

First, the weekend effect, where spot Bitcoin can swing thousands of dollars between Friday’s CME close and Sunday’s reopen, may fade. That reduces the structural volatility premium built into funding rates and options pricing.

Second, the spread between CME futures and crypto-native perps, already one of the main arbitrage trades in the market, may compress as institutional liquidity extends into previously uncovered hours.

CME said trading would begin in early 2026, subject to regulatory approval. With less than a quarter left, the short gap matters less for structural positioning and more for tactical flows. Weekend gaps and Friday closes will still be tracked, but traders are already beginning to price in a world where that feature disappears.

The brief status quo is unlikely to change market behavior in a major way. However, it does give arbitrage desks and ETF market makers a final stretch to capitalize on inefficiencies before the always-on era begins.

This is a meaningful change for the Bitcoin market. The CME gap has long been a technical feature of the market, one that traders watch and often trade around. Its disappearance would close one of the few remaining structural divides between institutional and crypto-native markets.

With 24/7 CME contracts, Bitcoin will no longer split into “weekend” and “weekday” liquidity regimes, as the same hedging and arbitrage flows that now wait for Sunday evening will be live throughout.

That adjustment could ripple into pricing models across the market. Options dealers, ETF arbitrage desks, and basis traders have historically built weekend risk into their funding curves.

By early 2026, those premiums are likely to compress, narrowing spreads between CME futures and perpetual swaps on offshore exchanges.

That also means the long-running narrative of weekend volatility (Bitcoin’s tendency to move hardest when TradFi is offline) may start to fade, replaced by more continuous price discovery.

Mentioned in this article",CryptoSlate,2025-10-03T16:03:56Z,https://cryptoslate.com/cme-to-start-trading-crypto-futures-24-7-what-changes-for-bitcoin/,0.09019607843137245,2025-10-04 00:09:20.678681,0.9999999999999999,"['start', '24', 'cme', 'futures', 'bitcoin', 'trading', 'crypto', 'market', 'structural', 'arbitrage', 'weekend', '2026', 'liquidity', 'flows', 'traders', 'early', 'crypto-native', 'trade', 'long', 'trades', 'feature', 'gap', 'price', 'gaps', 'contracts', 'options', 'etf', 'regulatory', 'approval', 'always-on', 'exchanges', 'traditional', 'daily', 'weekday', 'spot']"
"Guinea: Winning Consortium Simandou reports 3 worker deaths, suspends iron ore project - Business & Human Rights Resource Centre","Three foreign workers have died in a site accident at the Simandou iron ore project in Guinea, its co-developer Winning Consortium Simandou said on Thursday, adding that it has suspended operations and launched a full safety review.

The incident took place at a WCS work site in Kerouane province, the Chinese-controlled company said.

The military-led government did not immediately respond to a request for comment.

Simandou is largely a Chinese venture, with 75% of the production controlled by Chinese companies including Baosteel [...] and 25% held by Rio Tinto [...].

WCS said it is supporting the victims' families and will only resume operations once safety conditions are fully guaranteed.",Business & Human Rights,2025-10-02T23:00:00Z,https://www.business-humanrights.org/fr/latest-news/1-guinea-winning-consortium-simandou-reports-3-worker-deaths-suspends-iron-ore-project/,0.0117647058823529,2025-10-04 00:09:25.515828,0.5804,"['reports', 'worker', 'deaths', 'suspends', 'simandou', 'iron', 'ore', 'project', 'guinea', 'winning', 'consortium', 'site', 'operations', 'safety', 'wcs', 'chinese', 'foreign', 'workers', 'died', 'accident', 'co-developer', 'adding', 'suspended', 'launched', 'review', 'incident', 'place', 'work', 'kerouane', 'province', 'chinese-controlled', 'company', 'military-led', 'immediately', 'respond']"
The best Venice hotels with canal views,"Venice’s watery main thoroughfare is a spectacle to behold – and more particularly so if you’re observing it from the comfort of your own room. The grandest of the Grand Canal-facing hotels cluster around the lower reaches of this magnificent waterway, towards St Mark’s square. The price tag in these establishments reflects the prestige, but not all rooms look in the right direction – check when booking that you really will be peering out over the passing gondolas and vaporetti.

Elsewhere along the great sweep of water are accommodation options of all sizes and varieties: B&Bs, family-run places, international chains and elegant stand-alones. Stay in a grand palazzo overlooking the gentle lapping waves or check into a boutique hideaway affording canal views from a quieter corner of the city. Here’s our pick of the best Venice hotels with Grand Canal views, which we think are worth paying the premium for.

How we review

Every hotel in this curated list has been visited by one of our expert reviewers, who are usually hosted on a complimentary basis. They stay for a minimum of one night, test at least one meal and trial other experiences that the hotel might have to offer.

A long-time favourite among luxury travellers, The Gritti Palace beguiles with its prime position on the lower reaches of the Grand Canal and palatial interiors pairing antiques and frescos with modern touches. Guests can take in the hotel’s superb views from the lavish restaurant’s canal-side terrace, as well as its Grand Canal-facing suites. Facilities adding further appeal include the Gritti Epicurean School and The Gritti Spa - Sisley Paris. From the hotel, cultural sites abound. In its position on the canal, the property faces the church of Santa Maria della Salute and the Punta della Dogana art space.Famously the setting for the Clooneys’ nuptials, Aman Venice certainly comes with star quality. Considered one of the best Venice hotels on the Grand Canal, this hotel in the luxury Aman hotel collection occupies a 16th-century canal-side palace, found in the city’s San Polo district, now pairing its heritage with contemporary flair. On arriving by boat, guests enter the frescoed reception area from where a grand staircase leads up to the piano nobile and rococo ballroom featuring gilt mirrors, frescos and Murano chandeliers. The dining room, bar and salons are equally as opulent. Perhaps most appealingly, many of the 24 rooms overlook the Grand Canal.This joyful pastiche of Venetian style lies right at the heart of Venice, just north of the Rialto Bridge, on the Grand Canal. In this retreat taking over a palace dating back to the 1500s, Louis XV inspired style runs throughout each characterful space where highlights of the shared areas include a central living room leading out to a terrace with impressive views over the Rialto Bridge and Grand Canal. Guests are accommodated in just nine brocade-decorated rooms and suites, of which three come with their own canal views. A generous breakfast spread is made to order.Ca’ Sagredo is located within a 15th-century palazzo, which has been declared a National Monument, on the Grand Canal. Frescos adorn the interiors of this heritage site, also featuring the magnificent Scalone dei Giganti staircase, with antiques and works of art then furnishing the rooms. The hotel’s music room is particularly impressive with its terrazzo flooring, frescos by Gaspare Diziani and Murano chandeliers. The rooms, which are decorated in classic Venetian style, look out over the rooftops, inner courtyard or Campo Santa Sofia while the restaurant terrace overlooks the water.The five-star St. Regis Venice brings modern luxury into a place of historic grandeur set across the Grand Canal from the Basilica of Santa Maria della Salute and San Giorgio Maggiore. Arrive by boat to the hotel’s private jetty before stepping inside to interiors where contemporary decoration comes with Venetian inspiration. Here, a collection of rooms and suites, some with balconies, is joined by a Venetian restaurant and terrace, two sumptuous bars, a ballroom, library and small spa. The hotel features an abundance of contemporary art and even has a resident artist programme. Offering a more modern feel, Palazzo Barocci comes with light, bright contemporary rooms and suites, some of which overlook the Grand Canal, along with a café bar and garden courtyard for leisurely breakfasts or an apertivo. Local touches are brought into the interiors through design details like black and white photography. The site itself is steeped in heritage as its roots date as far back as the 1300s and its history includes once housing a theatre. The hotel is located right by Sant'Angelo vaporetto stop on the Grand Canal and it is within easy walking distance of St Mark's and the Accademia.This canal-side hideaway combines an excellent location, right on the Grand Canal but in the quieter area of Dorsoduro, with boutique charm. The hotel takes over a Belle Époque palazzo and, through its interior décor, comes with a faux-Gothic air. The hotel’s terrace, where breakfast is served, places you right on the canal and the roof terrace also comes with impressive views. The hotel has 24 individually decorated rooms. Stay in a superior room or suite for a view over the water. During a stay, guests have complimentary use of the hotel’s vintage wooden boat.The unique Hotel L’Orologio sits behind the Rialto produce market on the Grand Canal. This convenient location places the property within easy reach of many of Venice’s central sights. The hotel is slick and contemporary in style, with some more retro décor and its theme of horology seen throughout. There are 43 rooms and suites in the main palazzo of this property, with several more in a nearby building. The two-level Premium Suite affords views over the canal. The hotel has a vintage-feel bar at canal level and a fourth-floor terrace for aperitivos.A boutique bed and breakfast that’s filled with charm, Cima Rosa offers the quiet luxury of personalised, home-style service in elegant surroundings overlooking the Grand Canal. The hotel is located in the northern district of Santa Croce, close to the city’s main attractions but also in an area that still provides glimpses of real Venetian life. This bed and breakfast is the creation of an Italian architect and American interior designer. Entering through a courtyard adorned with roses and statues, guests arrive in common areas pairing modern taste with antique items. These common areas then lead to five sensitively restored rooms.The boutique Sina Palazzo Sant’Angelo hotel pairs a picturesque setting on the Grand Canal, just a stone’s throw from Piazza Santo Stefano, with classic Venetian style. The hotel is set in an Istrian stone palazzo, which the architect Angelo Scattolin designed in the 1950s. Guests staying at this boutique hotel can make use of the property’s lounge, American bar and wisteria-shaded courtyard-garden plus a narrow terrace furnished with tables and chairs on the water. The hotel’s 26 rooms and suites are decorated in red and gold Rubelli fabrics, gilded mirrors and marquetry-inlaid antiques and some of the suites also afford canal views.",Yahoo,2025-10-03T16:00:00Z,https://www.yahoo.com/lifestyle/articles/best-venice-hotels-canal-views-100600593.html,0.5137254901960784,2025-10-04 00:09:27.013830,0.9999999999999999,"['canal', 'views', 'venice', 'hotels', 'grand', 'hotel', 'rooms', 'terrace', 'palazzo', 'suites', 'guests', 'hotel’s', 'venetian', 'room', 'boutique', 'contemporary', 'style', 'water', 'stay', 'luxury', 'interiors', 'frescos', 'modern', 'santa', 'bar', 'breakfast', 'main', 'st', 'places', 'gritti', 'palace', 'pairing', 'antiques', 'canal-side', 'property']"
Satellogic Inc (SATL) went up 5.41% yesterday: Is this the Most Sought-After Stock Today?,"As on Thursday, Satellogic Inc (NASDAQ: SATL) got off with the flyer as it spiked 5.41% to $3.51, before settling in for the price of $3.33 at the close. Taking a more long-term approach, SATL posted a 52-week range of $0.93-$5.49.

The Industrials sector firm’s twelve-monthly sales growth has been 51.72% for the last half of the decade. Meanwhile, its Annual Earning per share during the time was 51.72%. This publicly-traded company’s shares outstanding now amounts to $94.66 million, simultaneously with a float of $52.75 million. The organization now has a market capitalization sitting at $370.54 million. At the time of writing, stock’s 50-day Moving Average stood at $3.53, while the 200-day Moving Average is $3.55.

Satellogic Inc (SATL) Ownership Facts and Figures

Another important factor to analyze is how key investors are playing towards the stock of the Aerospace & Defense industry. Satellogic Inc’s current insider ownership accounts for 50.03%, in contrast to 25.31% institutional ownership. According to the most recent insider trade that took place on Sep 24 ’25, this organization’s Chief Financial Officer sold 22,692 shares at the rate of 3.80, making the entire transaction reach 86,230 in total value, affecting insider ownership by 134,451. Preceding that transaction, on Sep 23 ’25, Company’s Chief Executive Officer sold 130 for 4.00, making the whole transaction’s value amount to 520. This particular insider is now the holder of 2,019,946 in total.

Satellogic Inc (NASDAQ: SATL) Trading Performance Indicators

Let’s observe the current performance indicators for Satellogic Inc (SATL). It’s Quick Ratio in the last reported quarter now stands at 0.98. Another valuable indicator worth pondering is a publicly-traded company’s price to sales ratio for trailing twelve months, which is currently 28.79.

In the same vein, SATL’s Diluted EPS (Earnings per Share) trailing twelve months is recorded -1.28.

Technical Analysis of Satellogic Inc (SATL)

Through scrutinizing the latest numbers posted by the [Satellogic Inc, SATL], it can be observed that its last 5-days Average volume of 1.46 million was better the volume of 1.3 million, it posted the year before. During the previous 9 days, stock’s Stochastic %D was recorded 18.61% While, its Average True Range was 50.24.

Raw Stochastic average of Satellogic Inc (SATL) in the period of the previous 100 days is set at 21.43%, which indicates a major fall in contrast to 33.33% during the last 2-weeks. If we go through the volatility metrics of the stock, In the past 14-days, Company’s historic volatility was 0.23 that was lower than 0.25 volatility it exhibited in the past 100-days period.",newsdaemon.com,2025-10-03T16:00:00Z,https://newsdaemon.com/2025/10/03/satellogic-inc-satl-went-up-5-41-yesterday-is-this-the-most-sought-after-stock-today/,0.2470588235294118,2025-10-04 00:09:30.023987,0.8999999999999999,"['41', 'yesterday', 'sought', 'satellogic', 'satl', 'million', 'average', 'company’s', 'ownership', 'insider', '25', '51', '33', 'posted', 'volatility', 'nasdaq', 'price', 'range', 'sales', '72', 'share', 'publicly-traded', 'shares', 'stock’s', 'moving', 'stock', 'current', '50', 'contrast', 'sep', '24', 'chief', 'officer', 'sold', 'making']"
"Here are the monthly payments on an $800,000 mortgage now that rates have dropped","The housing market has seen a notable shift in recent months. Mortgage rates were sitting at nearly 7% at the start of the year, but despite some brief upticks, rates have gradually declined overall. And, now that the Federal Reserve's first rate cut of 2025 is complete, mortgage rates are sitting at just over 6.3% on average. For prospective homebuyers eyeing properties in the $800,000 range — a price point common in major metropolitan areas and coastal markets — this rate drop could translate into a significant amount of savings each month.

While the difference between January's rates and today's figures might seem modest on paper, when applied to a substantial loan amount, even a drop of less than a percentage point can add up quickly. And, whether you're a first-time buyer stretching to afford a home in a competitive market or someone looking to refinance an existing mortgage, understanding the current payment landscape can help you make an informed decision on your borrowing options.

So, what can you expect to pay each month if you take out an $800,000 mortgage loan at today's rates? And how does that compare to what you would have paid earlier this year? Below, we'll detail the answers to both of these critical questions.

Find out how affordable the right mortgage loan could be today.

What are the monthly payments on an $800,000 mortgage now that rates have dropped?

If we're calculating the costs using today's average 30-year mortgage rate of 6.34%, an $800,000 home loan will cost you approximately $4,972.66 per month. Note, though, that this monthly payment only includes the principal and interest. Your monthly mortgage payment will likely be higher after the other costs, like property taxes and insurance, are added in.

Now let's compare that to January 2025, when the average 30-year mortgage rate sat at 6.93%. At that point, the same $800,000 loan would have required payments of about $5,284.86 per month. So, the recent rate drop means you're saving roughly $312 each month, or about $3,746 annually, compared to what you would have paid earlier this year. Over the life of a 30-year loan, that adds up to about $112,392 in savings.

If you're willing to commit to a shorter mortgage loan term, the savings become even more pronounced. A 15-year fixed-rate mortgage loan at today's average rate of 5.64% would cost approximately $6,596.25 per month on an $800,000 loan. While that's considerably higher than the 30-year payment, you'll own your home outright in half the time and pay substantially less in total interest.

In January, that same 15-year mortgage loan, which had an average rate of 6.14%, would have come with mortgage payments of about $6,811.51 monthly. That means today's rates save you about $215.26 per month compared to just a few months ago. Over the course of a year, those savings equate to $2583.12 in total, and over the life of the 30-year loan, the savings would be $77,493.60.

The 15-year mortgage loan option isn't for everyone, mind you, as the higher monthly payments require you to have more robust cash flow. But for buyers with stable, higher incomes who want to build equity quickly and minimize interest costs, the current 15-year rates present a compelling opportunity.

Compare your top mortgage loan options to find the right fit now.

How much would it cost to refinance an $800,000 mortgage at today's lower rates?

If you secured your mortgage when rates were higher, refinancing your loan to one with a lower rate could make financial sense. Current 30-year refinance rates average 6.64%, while 15-year refinance rates sit at 6.01%.

For someone with an existing 30-year mortgage at January's 6.93% rate, refinancing to today's 6.64% rate would reduce your monthly payment from $5,284.86 to around $5,130.42. That's a savings of $154.44 per month, or $1,853.28 annually. Whether this makes sense depends on your closing costs, which are typically between 2% to 5% of the loan amount.

The math gets more interesting if you refinance into a 15-year mortgage at 6.01%. Your monthly payment would jump to approximately $6,755.18, but you'd dramatically reduce your total interest paid over the loan's lifetime. This strategy works best for borrowers whose financial situation allows them to handle the higher payment.

Before refinancing, be sure to calculate your break-even point carefully. If you plan to sell or move within a few years, the upfront costs might outweigh the monthly savings. But if you're staying put for the long haul, locking in a lower rate now could save tens of thousands of dollars over time.

The bottom line

Mortgage rates have improved meaningfully since their January peak, creating opportunities for both new buyers and existing homeowners with $800,000 mortgages. Today's 30-year rate of 6.34% delivers monthly payments of approximately $4,973 — around $312 less than what the same loan would have cost just months ago. For buyers with sufficient income, 15-year loans at 5.64% offer even better long-term value, though at a higher monthly cost of about $6,596.

Homeowners who locked in rates above 6.64% should run the numbers on refinancing. While closing costs require careful consideration, the monthly savings could justify the upfront expense, particularly if you plan to stay in your home for several years. The current rate environment won't last forever, though, so make sure you run the numbers to accurately determine whether this is the time to act.",CBS News,2025-10-03T16:07:32Z,https://www.cbsnews.com/news/monthly-payments-on-an-800000-mortgage-now-that-rates-have-dropped/,-0.003921568627450966,2025-10-04 00:09:32.287342,0.9999999999999999,"['dropped', 'mortgage', 'rates', 'monthly', '800', '000', 'payments', 'loan', 'rate', 'savings', 'month', ""today's"", '30-year', 'payment', 'higher', '15-year', 'average', 'costs', 'refinance', 'cost', '64', 'point', 'current', 'approximately', 'interest', 'refinancing', 'months', 'drop', 'existing', 'compare', 'paid', 'total', 'buyers', 'lower', 'market']"
Supercharged by STEM Learning: How FIRST® Robotics Boosted Volusia County Students' State Exam Scores by 50% - SPONSOR CONTENT,"Hands-on STEM programming developed by the global, youth-serving nonprofit, FIRST®, is proven to improve test scores, build self-confidence and prepare student participants for real-world success.

In Volusia County, Florida, students participating in FIRST®, a robotics community preparing young people for the future, are scoring 50% higher on state math exams than their peers, while developing teamwork, leadership and problem-solving skills that extend far beyond the classroom. FIRST provides hands-on STEM experiences that ignite student engagement, strengthen academics, and prepare the next generation for tomorrow's workforce.

Across the country, demand for STEM skills is growing rapidly. According to the U.S. Bureau of Labor Statistics, STEM occupations are projected to grow by 10.4% b",Education Week,2025-10-03T16:07:30Z,https://www.edweek.org/sponsor/first/supercharged-by-stem-learning-how-first-robotics-boosted-volusia-county-students-state-exam-scores-by-50,0.1058823529411765,2025-10-04 00:09:33.038082,,
'Volaility' should not put new entrants off dairy farming - Tirlán chair,"""Volatility wouldn't be a reason not to go into dairy farming"" according to Tirlán's chair, John Murphy.

The co-op launched a new Generational Renewal Programme, backed by a €15 million support package yesterday (Thursday, October 2).

Speaking to Agriland at Kildalton College yesterday Murphy said that the recent drop in milk price should not deter new entrants who want to go into dairy farming.

Murphy added: ""Volatility is part of the business, in dairy as we all know, and all commodities whether it is oil, beef, or dairy.

The Tirlán chair acknowledged that there is never a good time for a downcycle.

But he said currently as the country comes into the back end of the season there are lower volumes of milk, combined with higher volumes of milk solids.

This paired with seasonality sch",Agriland,2025-10-03T16:00:00Z,https://www.agriland.ie/farming-news/volaility-should-not-put-new-entrants-off-dairy-farming-tirlan-chair/,0.192156862745098,2025-10-04 00:09:33.931468,,
