ticker,name,total_mentions,positive_mentions,negative_mentions,neutral_mentions,sentiment_score,category,collected_at,date_range
TSLA,"Tesla, Inc.",182,79,49,54,0.247,Consumer Cyclical,2025-11-09 12:01:48.773638,last7days
NVDA,NVIDIA Corporation,180,102,44,34,0.483,Technology,2025-11-09 12:01:48.860488,last7days
PLTR,Palantir Technologies Inc.,178,74,44,60,0.253,Technology,2025-11-09 12:01:48.959927,last7days
AMZN,"Amazon.com, Inc.",154,111,24,19,0.847,Consumer Cyclical,2025-11-09 12:01:49.067363,last7days
GOOGL,Alphabet Inc.,112,86,12,14,0.991,Communication Services,2025-11-09 12:01:49.160645,last7days
GLD,SPDR Gold Shares,101,41,16,44,0.371,Other,2025-11-09 12:01:49.252663,last7days
GLDM,SPDR Gold MiniShares,100,40,16,44,0.36,Other,2025-11-09 12:01:49.347238,last7days
IAU,iShares Gold Trust,99,39,16,44,0.348,Other,2025-11-09 12:01:49.437367,last7days
OUNZ,VanEck Merk Gold Trust,98,39,16,43,0.352,Other,2025-11-09 12:01:49.513464,last7days
DGL,Invesco DB Gold,98,39,16,43,0.352,Other,2025-11-09 12:01:49.590439,last7days
AAAU,Perth Mint Physical Gold ETF,98,39,16,43,0.352,Other,2025-11-09 12:01:49.674345,last7days
UGL,ProShares Ultra Gold,97,39,16,42,0.356,Other,2025-11-09 12:01:49.753528,last7days
AMD,"Advanced Micro Devices, Inc.",84,40,18,26,0.393,Technology,2025-11-09 12:01:49.830352,last7days
NVO,Novo Nordisk A/S,81,40,20,21,0.37,Healthcare,2025-11-09 12:01:49.925403,last7days
SGOL,ETFS Physical Swiss Gold,80,34,11,35,0.431,Other,2025-11-09 12:01:50.013785,last7days
DBP,Invesco DB Precious Metals,80,34,11,35,0.431,Other,2025-11-09 12:01:50.097373,last7days
BAR,GraniteShares Gold Trust,80,34,11,35,0.431,Other,2025-11-09 12:01:50.180403,last7days
MSFT,Microsoft Corporation,79,50,4,25,0.873,Technology,2025-11-09 12:01:50.263523,last7days
META,"Meta Platforms, Inc.",70,28,19,23,0.193,Communication Services,2025-11-09 12:01:50.349608,last7days
GUSH,Direxion Dly S&P Oil&Gs Ex&Prd Bl 3X ETF,67,16,28,23,-0.269,Other,2025-11-09 12:01:50.443599,last7days
