ticker,title,publisher,link,providerPublishTime,type,collected_at
AAPL,,,,,,2025-10-23 16:34:14.317471
AAPL,,,,,,2025-10-23 16:34:14.317483
AAPL,,,,,,2025-10-23 16:34:14.317486
AAPL,,,,,,2025-10-23 16:34:14.317489
AAPL,,,,,,2025-10-23 16:34:14.317492
AAPL,,,,,,2025-10-23 16:34:14.317495
AAPL,,,,,,2025-10-23 16:34:14.317498
AAPL,,,,,,2025-10-23 16:34:14.317501
AAPL,,,,,,2025-10-23 16:34:14.317504
AAPL,,,,,,2025-10-23 16:34:14.317506
GOOGL,,,,,,2025-10-23 16:34:14.442786
GOOGL,,,,,,2025-10-23 16:34:14.442797
GOOGL,,,,,,2025-10-23 16:34:14.442800
GOOGL,,,,,,2025-10-23 16:34:14.442802
GOOGL,,,,,,2025-10-23 16:34:14.442804
GOOGL,,,,,,2025-10-23 16:34:14.442807
GOOGL,,,,,,2025-10-23 16:34:14.442809
GOOGL,,,,,,2025-10-23 16:34:14.442811
GOOGL,,,,,,2025-10-23 16:34:14.442813
GOOGL,,,,,,2025-10-23 16:34:14.442815
MSFT,,,,,,2025-10-23 16:34:14.607816
MSFT,,,,,,2025-10-23 16:34:14.607828
MSFT,,,,,,2025-10-23 16:34:14.607830
MSFT,,,,,,2025-10-23 16:34:14.607831
MSFT,,,,,,2025-10-23 16:34:14.607833
MSFT,,,,,,2025-10-23 16:34:14.607835
MSFT,,,,,,2025-10-23 16:34:14.607837
MSFT,,,,,,2025-10-23 16:34:14.607839
MSFT,,,,,,2025-10-23 16:34:14.607840
MSFT,,,,,,2025-10-23 16:34:14.607842
VTI,,,,,,2025-10-23 16:34:14.727366
VTI,,,,,,2025-10-23 16:34:14.727376
VTI,,,,,,2025-10-23 16:34:14.727378
VTI,,,,,,2025-10-23 16:34:14.727381
VTI,,,,,,2025-10-23 16:34:14.727383
VTI,,,,,,2025-10-23 16:34:14.727386
VTI,,,,,,2025-10-23 16:34:14.727388
VTI,,,,,,2025-10-23 16:34:14.727390
VTI,,,,,,2025-10-23 16:34:14.727393
VTI,,,,,,2025-10-23 16:34:14.727395
SCHB,,,,,,2025-10-23 16:34:14.854949
