title,content,source,published_at,url,collected_at,sentiment
RBC WM's Frédérique Carrier on UK Stock Listings,"""Companies are concerned about the discount that their stock has if they're listed here in the UK,"" Frederique Carrier, head of investment strategy for RBC Wealth Management in the British Isles and … [+147 chars]",Biztoc.com,2025-09-30T09:23:18Z,https://biztoc.com/x/295398e5c8570a44,2025-10-01 17:26:48.514842,
"E Fund HK's Two ETFs List Simultaneously on HKEX, with an Initial Offering Size Exceeding HK$1.369 Billion","Hong Kong (ANTARA/PRNewswire)- Two new ETFs launched by E Fund Management (HK) Co., Ltd (""E Fund HK"") – the E Fund HK MSCI Asia-Pacific High Dividend Index ETF (3483.HK) and the E Fund HK FTSE AI Sel… [+1747 chars]",Antaranews.com,2025-09-30T09:21:25Z,https://en.antaranews.com/news/383361/e-fund-hks-two-etfs-list-simultaneously-on-hkex-with-an-initial-offering-size-exceeding-hk1369-billion,2025-10-01 17:26:48.514984,
Caesars Entertainment (NASDAQ:CZR) vs. Giftify (NASDAQ:GIFT) Critical Analysis,"Caesars Entertainment (NASDAQ:CZR – Get Free Report) and Giftify (NASDAQ:GIFT – Get Free Report) are both consumer discretionary companies, but which is the better stock? We will compare the two comp… [+4501 chars]",ETF Daily News,2025-09-30T09:21:00Z,https://www.etfdailynews.com/2025/09/30/caesars-entertainment-nasdaqczr-vs-giftify-nasdaqgift-critical-analysis/,2025-10-01 17:26:48.515093,
Reviewing Korn/Ferry International (NYSE:KFY) and DLH (NASDAQ:DLHC),"Korn/Ferry International (NYSE:KFY – Get Free Report) and DLH (NASDAQ:DLHC – Get Free Report) are both business services companies, but which is the better stock? We will contrast the two companies b… [+5913 chars]",ETF Daily News,2025-09-30T09:21:00Z,https://www.etfdailynews.com/2025/09/30/reviewing-korn-ferry-international-nysekfy-and-dlh-nasdaqdlhc-2/,2025-10-01 17:26:48.515161,
"Public Employees Retirement System of Ohio Sells 1,318 Shares of First Solar, Inc. $FSLR","Public Employees Retirement System of Ohio decreased its holdings in First Solar, Inc. (NASDAQ:FSLR – Free Report) by 4.0% during the 2nd quarter, HoldingsChannel reports. The firm owned 31,515 share… [+6076 chars]",ETF Daily News,2025-09-30T09:21:00Z,https://www.etfdailynews.com/2025/09/30/public-employees-retirement-system-of-ohio-sells-1318-shares-of-first-solar-inc-fslr/,2025-10-01 17:26:48.515338,
"Fifth Third Bancorp Decreases Stock Position in The Cooper Companies, Inc. $COO","Fifth Third Bancorp lessened its stake in The Cooper Companies, Inc. (NASDAQ:COO – Free Report) by 4.3% in the second quarter, Holdings Channel reports. The fund owned 7,543 shares of the medical dev… [+6834 chars]",ETF Daily News,2025-09-30T09:21:00Z,https://www.etfdailynews.com/2025/09/30/fifth-third-bancorp-decreases-stock-position-in-the-cooper-companies-inc-coo/,2025-10-01 17:26:48.515526,
Perigon Wealth Management LLC Boosts Position in Microchip Technology Incorporated $MCHP,"Perigon Wealth Management LLC boosted its holdings in shares of Microchip Technology Incorporated (NASDAQ:MCHP – Free Report) by 27.8% in the second quarter, HoldingsChannel.com reports. The institut… [+6723 chars]",ETF Daily News,2025-09-30T09:21:00Z,https://www.etfdailynews.com/2025/09/30/perigon-wealth-management-llc-boosts-position-in-microchip-technology-incorporated-mchp/,2025-10-01 17:26:48.515610,
Perigon Wealth Management LLC Buys 86 Shares of MSCI Inc $MSCI,"Perigon Wealth Management LLC increased its position in MSCI Inc (NYSE:MSCI – Free Report) by 14.6% in the 2nd quarter, according to its most recent disclosure with the Securities and Exchange Commis… [+5793 chars]",ETF Daily News,2025-09-30T09:21:00Z,https://www.etfdailynews.com/2025/09/30/perigon-wealth-management-llc-buys-86-shares-of-msci-inc-msci/,2025-10-01 17:26:48.515683,
TD Private Client Wealth LLC Sells 231 Shares of Avery Dennison Corporation $AVY,"TD Private Client Wealth LLC reduced its stake in Avery Dennison Corporation (NYSE:AVY – Free Report) by 23.0% during the 2nd quarter, according to the company in its most recent disclosure with the … [+5992 chars]",ETF Daily News,2025-09-30T09:21:00Z,https://www.etfdailynews.com/2025/09/30/td-private-client-wealth-llc-sells-231-shares-of-avery-dennison-corporation-avy/,2025-10-01 17:26:48.515752,
"GAMMA Investing LLC Has $142,000 Stock Position in BP p.l.c. $BP","GAMMA Investing LLC trimmed its position in BP p.l.c. (NYSE:BP – Free Report) by 22.7% in the second quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission.… [+5483 chars]",ETF Daily News,2025-09-30T09:21:00Z,https://www.etfdailynews.com/2025/09/30/gamma-investing-llc-has-142000-stock-position-in-bp-p-l-c-bp/,2025-10-01 17:26:48.515816,
