title,content,source,published_at,url,collected_at,sentiment
"India's gold, silver imports nearly double despite record prices ahead of festivals, sources say","India's imports of gold and silver nearly doubled in September from August, defying record high prices, as banks and jewellers rushed to build inventories ahead of festivals and escape higher taxes o… [+2746 chars]",The Times of India,2025-09-30T10:29:05Z,https://economictimes.indiatimes.com/news/economy/foreign-trade/indias-september-gold-silver-imports-nearly-double-despite-record-prices-ahead-of-festivals-sources-say/articleshow/124232381.cms,2025-10-01 18:29:54.249142,
Extending E-Commerce Revenue With Browser Extensions,Online shopping service concept. Young woman and man customers sitting on boxes ordering with huge smartphone app. Ordering with online payment. Purchase. Shipping. Isolated stock vector illustration… [+8485 chars],Forbes,2025-09-30T10:21:23Z,https://www.forbes.com/sites/douglaslaney/2025/09/30/extending-e-commerce-revenue-with-browser-extensions/,2025-10-01 18:29:54.249301,
Should You Buy UnitedHealth Group (UNH) Stock Before October 28?,"Key Points-UnitedHealth is dealing with a government investigation and turnover at the top.-It's still the biggest health insurer in the country, with a solid dividend yield.-See if it inspires confi… [+143 chars]",Biztoc.com,2025-09-30T10:20:05Z,https://biztoc.com/x/ea58fec3ebca4bd3,2025-10-01 18:29:54.249452,
Gold Slips as Traders Take Stock of Record-Breaking Rally,"Gold dipped along with other precious metals as traders wrap up a month that saw successive all-time highs fueled by fears of a US government shutdown.Bullion retreated to about $3,800 an ounce after… [+148 chars]",Biztoc.com,2025-09-30T10:19:48Z,https://biztoc.com/x/1e90d0a263af99f8,2025-10-01 18:29:54.249599,
"Stock futures fall as U.S. government shutdown looms, but Wall Street heads for monthly gains: Live updates","Stock futures fell Tuesday as a potential U.S. government shutdown loomed. Despite the latest declines, Wall Street was headed for an unusually strong September.Futures tied to the Dow Jones Industri… [+148 chars]",Biztoc.com,2025-09-30T10:19:18Z,https://biztoc.com/x/99a56d80b52f2cf4,2025-10-01 18:29:54.249921,
This chart shows the U.S. labor market is running on fumes. Why that’s a risk for the stock market,", 200); return false;"">Why is the US government shutdown looming? , 200); return false;"">How will a shutdown impact eco… [+774 chars]",Biztoc.com,2025-09-30T10:19:03Z,https://biztoc.com/x/67de7975bc86e008,2025-10-01 18:29:54.250295,
University of Phoenix owner eyes $1.2 billion valuation in US IPO,"The owner of the University of Phoenix is targeting a valuation of up to $1.2 billion in its U.S. initial public offering, it said on Tuesday, setting the stage for its stock market return after more… [+1619 chars]",CNA,2025-09-30T10:17:10Z,https://www.channelnewsasia.com/business/university-phoenix-owner-eyes-12-billion-valuation-in-us-ipo-5377541,2025-10-01 18:29:54.250466,
Korean Air’s Updated Asiana Miles & Status Integration Plan,South Koreas Fair Trade Commission (FTC) rejected Korean Airs proposal to integrate Asianas frequent flier program back in June ( here). Korean Air in June wasnt willing to convert Asiana m… [+16486 chars],Loyaltylobby.com,2025-09-30T10:15:42Z,https://loyaltylobby.com/2025/09/30/korean-airs-updated-asiana-miles-status-integration-plan/,2025-10-01 18:29:54.250613,
"Market Wrap: D-Street falls for 8th straight session on FMCG, IT sell-off; Sensex drops 97 points, Nifty below 24,650","India's heartbeat indices Nifty and the BSE Sensex ended negative on Tuesday recording their eighth successive loss led by selling pressure in consumer, realty and IT stocks though auto, banks and me… [+2270 chars]",The Times of India,2025-09-30T10:15:35Z,https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-d-street-falls-for-8th-straight-session-on-fmcg-it-sell-off-sensex-drops-97-points-nifty-below-24650/articleshow/124232024.cms,2025-10-01 18:29:54.250755,
University of Phoenix owner eyes $1.2 billion valuation in US IPO,"(Reuters) -The owner of the University of Phoenix is targeting a valuation of up to $1.2 billion in its U.S. initial public offering, it said on Tuesday, setting the stage for its stock market return… [+1718 chars]",Yahoo Entertainment,2025-09-30T10:15:03Z,https://finance.yahoo.com/news/university-phoenix-owner-eyes-1-101503436.html,2025-10-01 18:29:54.250894,
