dominant_topic,document_count,avg_confidence,topic_keywords
0,173,0.73761004,"shareholder, division, research, officer, firm"
1,593,0.68038374,"announce, today, result, financial, new"
2,172,0.72032535,"class, firm, lead, action, period"
3,162,0.56821364,"time, money, buy, lot, try"
4,221,0.5665393,"invest, spy, fund, account, want"
5,137,0.5849129,"space, gold, index, drop, strategy"
6,482,0.64999807,"growth, strong, earning, revenue, result"
7,210,0.73881054,"index, future, earning, likely, key"
8,189,0.8175924,"end, estimate, compare, come, earning"
9,455,0.5155924,"etf, fund, growth, return, high"
