ticker,name,total_mentions,positive_mentions,negative_mentions,neutral_mentions,sentiment_score,category,collected_at,date_range
NVDA,NVIDIA Corporation,282,184,14,84,0.904,Technology,2025-11-01 14:01:35.632258,last7days
AMZN,"Amazon.com, Inc.",261,138,73,50,0.374,Consumer Cyclical,2025-11-01 14:01:35.706359,last7days
MSFT,Microsoft Corporation,169,103,25,41,0.692,Technology,2025-11-01 14:01:35.800049,last7days
META,"Meta Platforms, Inc.",163,56,46,61,0.092,Communication Services,2025-11-01 14:01:35.889078,last7days
AAPL,Apple Inc.,156,100,12,44,0.846,Technology,2025-11-01 14:01:35.966057,last7days
GOOGL,Alphabet Inc.,149,99,14,36,0.856,Communication Services,2025-11-01 14:01:36.045244,last7days
GLD,SPDR Gold Shares,116,46,30,40,0.207,Other,2025-11-01 14:01:36.119474,last7days
AAAU,Perth Mint Physical Gold ETF,114,46,30,38,0.211,Other,2025-11-01 14:01:36.187369,last7days
IAU,iShares Gold Trust,112,47,28,37,0.254,Other,2025-11-01 14:01:36.260201,last7days
GLDM,SPDR Gold MiniShares,112,46,28,38,0.241,Other,2025-11-01 14:01:36.331126,last7days
DGL,Invesco DB Gold,112,46,28,38,0.241,Other,2025-11-01 14:01:36.402004,last7days
OUNZ,VanEck Merk Gold Trust,111,46,28,37,0.243,Other,2025-11-01 14:01:36.472838,last7days
UGL,ProShares Ultra Gold,110,45,28,37,0.232,Other,2025-11-01 14:01:36.549549,last7days
SGOL,ETFS Physical Swiss Gold,85,31,22,32,0.159,Other,2025-11-01 14:01:36.618705,last7days
DBP,Invesco DB Precious Metals,84,31,20,33,0.196,Other,2025-11-01 14:01:36.706902,last7days
BAR,GraniteShares Gold Trust,84,31,20,33,0.196,Other,2025-11-01 14:01:36.773754,last7days
TSLA,"Tesla, Inc.",84,40,21,23,0.339,Consumer Cyclical,2025-11-01 14:01:36.850466,last7days
XOP,SPDR S&P Oil & Gas Explor & Prodtn ETF,67,16,27,24,-0.246,Other,2025-11-01 14:01:36.915145,last7days
OIH,VanEck Vectors Oil Services ETF,67,16,28,23,-0.269,Other,2025-11-01 14:01:36.979495,last7days
USO,United States Oil,65,16,27,22,-0.254,Other,2025-11-01 14:01:37.058112,last7days
